content,a,b,c,d,correct_option
Which noun in the sentence 'Honesty is the best policy' is an abstract noun?,Honesty,best,policy,is,A
Identify the noun used as a subject in the sentence: 'The teacher explained the lesson clearly.',teacher,lesson,explained,clearly,A
The currency of South Africa is known as?,Rand,Shilling,Dollar,Peso,A
Which of the following countries uses the 'Rupee' as its currency?,Nepal,Thailand,Indonesia,Bangladesh,A
Which currency is officially used in the United Kingdom?,Pound Sterling,Euro,Dollar,Franc,A
What is the currency of Australia?,Australian Dollar,Pound,Euro,Franc,A
The currency 'Lira' was historically used in which country before adopting the Euro?,Italy,Spain,France,Portugal,A
"If \( \sin \theta = \frac{3}{5} \), what is the value of \( \cos \theta \) assuming \( \theta \) is in the first quadrant?",\( \frac{4}{5} \),\( \frac{3}{4} \),\( \frac{5}{3} \),\( \frac{1}{2} \),A
"If the volume of a cylinder is 1540 cm³ and the radius of its base is 7 cm, what is the height of the cylinder?",10 cm,12 cm,14 cm,16 cm,A
A cylinder has a height of 15 cm and the total surface area is 660 cm². Find the radius of the base of the cylinder.,7 cm,6 cm,8 cm,9 cm,B
The height of a cylinder is tripled while keeping the radius constant. How does the volume of the cylinder change?,It triples,It doubles,It quadruples,It remains the same,A
The radius of a cylinder is doubled and its height is halved. What is the ratio of the new volume to the original volume?,2:1,1:2,4:1,1:4,A
A cylinder has a radius of 4 cm and a height of 9 cm. Find the curved surface area of the cylinder.,113.04 cm²,150.72 cm²,226.08 cm²,452.16 cm²,B
What is the volume of a cylinder with diameter 14 cm and height 20 cm? (Use π = 22/7),3080 cm³,308 cm³,1540 cm³,6160 cm³,A
A cylinder has a volume of 500π cm³ and radius 5 cm. What is the height of the cylinder?,10 cm,15 cm,20 cm,25 cm,C
"If the radius of a cylinder is increased by 20% and height is decreased by 10%, by what percent does the volume change?",8% increase,8% decrease,14% increase,14% decrease,A
The curved surface area of a cylinder is 440 cm² and the height is 14 cm. Find the radius of the base.,5 cm,7 cm,10 cm,11 cm,B
What is the one word for a person who eats only plants?,Omnivore,Carnivore,Herbivore,Insectivore,C
A man travels 60 km at a speed of 20 km/h and returns the same distance at a speed of 30 km/h. What is his average speed for the entire journey?,24 km/h,25 km/h,22 km/h,26 km/h,A
A car covers a distance of 150 km at an average speed of 50 km/h. How much time will it take to cover the distance?,3 hours,2.5 hours,4 hours,3.5 hours,A
Two trains start from the same station and travel in opposite directions. One train travels at 60 km/h and the other at 40 km/h. What is their average speed with respect to each other?,100 km/h,50 km/h,24 km/h,48 km/h,A
A cyclist covers the first half of a journey at 12 km/h and the second half at 18 km/h. What is the average speed for the whole journey?,14.4 km/h,15 km/h,13.5 km/h,16 km/h,A
"If a car travels at 60 km/h for 2 hours and then at 40 km/h for 3 hours, what is the average speed of the car for the entire trip?",48 km/h,50 km/h,52 km/h,54 km/h,A
A man runs to a place at 5 km/h and returns at 3 km/h. What is his average speed for the entire journey?,3.75 km/h,4 km/h,3.5 km/h,3.25 km/h,A
A vehicle covers a distance of 240 km with the first half of the distance at 60 km/h and the second half at 80 km/h. What is the average speed for the whole distance?,68.57 km/h,70 km/h,72 km/h,75 km/h,A
A man covers a certain distance at a speed of 15 km/h and returns at 10 km/h. What is his average speed for the entire journey?,12 km/h,12.5 km/h,11.5 km/h,13 km/h,A
A boat goes 30 km upstream and 30 km downstream. The speed of the boat in still water is 20 km/h and the speed of the stream is 5 km/h. What is the average speed of the boat for the entire journey?,19.2 km/h,20 km/h,18.5 km/h,17.5 km/h,A
"A train takes 4 hours to cover a certain distance at a certain speed. If the speed is increased by 10 km/h, the train covers the same distance in 3 hours. What is the average speed for the entire journey if the train goes at the original speed for the first half and at the increased speed for the second half?",50 km/h,52.5 km/h,55 km/h,60 km/h,A
What is the one word for a government ruled by a king or queen?,Democracy,Monarchy,Oligarchy,Anarchy,B
What is the one word for a person who can speak several languages?,Monolingual,Bilingual,Polyglot,Unilingual,C
What is the one word for a place where animals are kept for public viewing?,Sanctuary,Zoo,Museum,Aquarium,B
What is the one word for a person who collects stamps?,Numismatist,Philatelist,Cartographer,Archaeologist,B
What is the one word for a person who travels to space?,Astronaut,Cosmonaut,Pilot,Explorer,A
"If \( \tan \theta = 1 \), what is the value of \( \sin \theta + \cos \theta \)?",\( \sqrt{2} \),1,\( \frac{1}{\sqrt{2}} \),2,A
Which of the following represents the value of \( \cot 45^\circ \)?,1,\( \sqrt{3} \),0,\( \frac{1}{\sqrt{3}} \),A
"If \( \sin A = \frac{5}{13} \), what is the value of \( \tan A \)?",\( \frac{5}{12} \),\( \frac{12}{5} \),\( \frac{12}{13} \),\( \frac{13}{12} \),B
What is the value of \( \sin 30^\circ \)?,\( \frac{1}{2} \),\( \frac{\sqrt{3}}{2} \),1,0,A
"If 5 times a number decreased by 7 equals 18, what is the number?",5,7,4,6,D
"If \( \cos \theta = 0.6 \) and \( \theta \) lies in the first quadrant, find \( \tan \theta \).",0.8,1.25,0.75,1.5,A
Which trigonometric ratio is defined as the ratio of the adjacent side to the hypotenuse in a right-angled triangle?,Cosine,Sine,Tangent,Cotangent,A
"If \( \sin \alpha = \frac{1}{3} \) and \( \alpha \) is an acute angle, find \( \tan \alpha \).",\( \frac{\sqrt{8}}{1} \),\( \sqrt{2} \),\( \frac{1}{\sqrt{8}} \),\( \frac{1}{\sqrt{10}} \),A
The value of \( \sec 60^\circ \) is:,2,\( \frac{1}{2} \),\( \sqrt{3} \),\( \frac{1}{\sqrt{3}} \),A
"If \( \tan \theta = \frac{3}{4} \), what is the value of \( \sin \theta \)?",\( \frac{3}{5} \),\( \frac{4}{5} \),\( \frac{5}{3} \),\( \frac{7}{5} \),A
"The sum of thrice a number and twice another number is 16. If the first number is 2 more than the second, what is the first number?",6,7,8,9,A
"What figure completes the series: Hexagon, Pentagon, Hexagon, Pentagon, ?",Hexagon,Pentagon,Square,Triangle,A
"If a man can do a piece of work in 12 days working 9 hours a day, how many hours a day must he work to finish the work in 9 days?",12 hours,11 hours,10 hours,9 hours,A
"Three workers A, B, and C can complete a work in 24, 36, and 48 hours respectively. If they work 6 hours a day together, how many days will it take to finish the work?",3 days,4 days,5 days,6 days,A
"A person can complete a work in 5 days, working 8 hours a day. How many hours a day must he work to complete the work in 4 days?",10 hours,9 hours,8 hours,7 hours,A
"If 8 men working 7 hours a day can finish a work in 15 days, how many hours a day must 6 men work to finish the work in 20 days?",14 hours,12 hours,10 hours,9 hours,B
"A worker can complete a work in 10 days, working 6 hours daily. How many days will he take to complete the same work if he works 8 hours daily?",7.5 days,8 days,7 days,6 days,A
"Two workers A and B can complete a work in 6 and 8 hours respectively. If they work 4 hours a day alternatively starting with A, in how many days will the work be completed?",4 days,3 days,5 days,6 days,A
"If January 1, 2023 is a Sunday, what day of the week will January 1, 2024 be?",Monday,Tuesday,Sunday,Wednesday,B
A leap year starting on a Monday will end on which day of the week?,Monday,Tuesday,Wednesday,Thursday,B
"If the 1st of March, 2021 is a Monday, what day of the week was 1st January 2021?",Friday,Thursday,Saturday,Sunday,B
How many Sundays are there in the month of February 2020?,4,5,3,2,B
"If today is Friday, what day will it be 100 days from now?",Sunday,Monday,Wednesday,Thursday,D
"In a leap year, if the 1st of January is a Saturday, what day will 31st December fall on?",Sunday,Monday,Saturday,Friday,B
What is the day of the week on 15th August 1947?,Friday,Saturday,Thursday,Wednesday,A
"If 1st January 2022 was a Saturday, on which day of the week will 1st January 2025 fall?",Monday,Wednesday,Thursday,Sunday,C
How many odd days are there in 4 years including one leap year?,0,1,2,3,A
"If 1st March 2024 is Friday, what will be the day on 1st March 2025?",Saturday,Sunday,Friday,Thursday,D
"In a cyclic quadrilateral ABCD, if angle A = 70° and angle C = 110°, then what is the sum of angle B and angle D?",180°,200°,130°,90°,A
Which condition must be satisfied for a quadrilateral to be cyclic?,Sum of opposite angles equals 180 degrees,Adjacent angles are equal,All sides are equal,Diagonals are perpendicular,A
The length of the chord subtending an angle of 60° in a circle of radius 10 cm is?,10 cm,8.66 cm,5 cm,12 cm,B
"In cyclic quadrilateral ABCD, if AB = BC = CD and angle A = 70°, what is the measure of angle D?",110°,70°,90°,100°,A
"If the sides of a cyclic quadrilateral are 7 cm, 24 cm, 7 cm, and 24 cm, what is the length of its diagonal opposite to the side 7 cm?",25 cm,31 cm,24 cm,26 cm,A
The product of the diagonals of a cyclic quadrilateral is equal to the sum of the products of its opposite sides. True or False?,True,False,Sometimes true,Cannot be determined,A
"If the sides of a cyclic quadrilateral are 13 cm, 14 cm, 15 cm, and 12 cm, what is its approximate area?",168 cm²,140 cm²,156 cm²,175 cm²,A
"If all cats are animals and some animals are dogs, which conclusion logically follows using a Venn diagram?",Some cats are dogs,All dogs are cats,Some animals are not cats,No cat is a dog,C
